Temperature,Mortality
-0.001142685,-0.024969787
0.361751553,0.216263749
0.667934749,0.458672886
0.934434324,0.639715598
1.246288624,0.882007176
1.631853172,1.184959818
2.01741772,1.48791246
2.374626746,1.791452903
2.839572645,2.154949049
3.344202166,2.579811622
3.673069779,2.821750518
4.001937392,3.063689415
3.049361178,2.337167363
