Temperature,Mortality
0,-0.024875625
0.186792453,0.534825875
0.515094339,1.52985075
0.843396225,2.524875625
1.17735849,3.5199005
1.52264151,4.514925375
1.896226416,5.5721393
2.394339624,7.00248755
2.937735849,8.495024875
3.560377359,10.17412935
3.996226416,11.29353235
