Temperature,Mortality
0,-0.024875625
0.962264151,-1.455223875
1.483018869,-2.077114425
1.975471698,-2.5124378
2.530188678,-2.9477612
3.039622641,-3.320895525
3.469811322,-3.445273625
3.996226416,-3.6318408
